id,label
214328887,270449528
17116707,270449528
221036078,270449528
222261763,270449528
158419434,333138240
113058991,333138240
124528830,270449528
6581292,270449528
314316607,270449528
258140947,333138240
225444667,270449528
195475105,333138240
115221382,333138240
257236842,333138240
226629405,333138240
86221475,270449528
17675120,333138240
292598082,270449528
197504076,333138240
259842341,270449528
8163442,333138240
109740608,333138240
236143101,333138240
19358562,270449528
59588845,270449528
17627996,68352132
30971165,270449528
27633075,270449528
309782398,270449528
22462180,333138240
236026868,270449528
17759158,270449528
222090651,85717979
355823615,333138240
287915525,333138240
21272026,85717979
15023872,270449528
100052945,333138240
72680406,9503302
15465769,9503302
124746917,23930272
41048052,23930272
203827751,23930272
21742517,23930272
16877939,9503302
22689667,9503302
88974843,9503302
60607157,9503302
30204310,263292498
17037417,14654965
111164068,16464746
159629146,535016795
34805698,16464746
176872879,535016795
486930916,535016795
211670208,16895295
408060505,16895295
27090278,16895295
148081553,16895295
309765553,21219827
22440364,16895295
317846921,223247584
363426409,243058696
191638793,223247584
130897520,223247584
167010482,223247584
88501703,223247584
7377812,22679419
15439395,115637846
20747741,223247584
17158189,7434902
19415126,223247584
4893411,765
46241448,223247584
114563370,223247584
18849313,145573135
15665127,243058696
28521141,14521617
422066630,243058696
308324295,223247584
274149738,243058696
243058696,243058696
23559552,223247584
125540746,223247584
18488495,223247584
332375645,223247584
15863699,223247584
26547954,32400124
16891273,41562592
14824849,6480682
323405569,11926442
423662810,16589206
52216611,16464746
10671602,22679419
7846,14134204
526921548,16464746
92306628,103865085
15862891,103865085
16876667,103865085
90746337,103865085
42950930,103865085
205195655,103865085
51274038,103865085
69248730,103865085
131663151,103865085
14936377,103865085
14091091,103865085
21410687,103865085
19816089,103865085
45957677,103865085
207936757,16464746
283612037,156550354
24109979,59236263
17910878,16464746
256286568,14495204
104989762,103865085
1116721,5885472
1044591,5885472
6550132,5885472
6752812,5885472
6194262,5885472
1468951,5885472
11726932,5885472
5678622,5885472
6269452,5885472
6350182,5885472
9035822,5885472
9817642,5885472
11627,5885472
87541152,91083585
13382652,91083585
14691709,22679419
27531390,26961048
24585498,22679419
382560919,91083585
16143542,91083585
20068314,91083585
221988282,22679419
105520076,91083585
21891535,91083585
16747981,14654965
220880680,16464746
20057044,42589903
216288753,91083585
15002367,251785109
44578351,24595743
17940246,91083585
322711543,91083585
24595743,22679419
53477757,91083585
17928329,91083585
41692369,53897932
378603319,91083585
104635553,91083585
17489246,8033482
341840097,26176694
39547783,156550354
5623612,156550354
384388981,14654965
88971791,156550354
268788852,156550354
105895378,16464746
67818595,26176694
437851930,156550354
121258930,14654965
146867687,156550354
422253889,26176694
71606873,14654965
74651704,156550354
469024995,156550354
72156360,14654965
499839056,14654965
286012612,14654965
250303199,16464746
285272807,14654965
46423291,16464746
107418464,6480682
378291801,26176694
28281437,14654965
157218534,170009793
90574845,214250601
21581503,103865085
58963156,104070525
16472065,21982720
39524936,21982720
14327715,17897772
67976245,21982720
17567533,103865085
1385211,21982720
104070525,104070525
39582797,17030680
66182591,104070525
16245822,103865085
55326534,21982720
15859033,21982720
110331040,21982720
293501590,21982720
321029318,21982720
19722699,103865085
24280870,21982720
5988062,19526770
257549385,21982720
120252183,21982720
33149448,21982720
326844718,21982720
18370451,21982720
22636185,21982720
48806858,21982720
34747631,6480682
74178227,50329304
90420314,6480682
423904716,18730188
29118453,14654965
44039298,6480682
40657605,6480682
22544911,6480682
13687132,22679419
14622632,24977474
8336592,6480682
26053643,6480682
16421962,6480682
28474662,34430522
224144546,6480682
43170475,22679419
14957302,6480682
176904762,6480682
15888142,14654965
80220039,6480682
202938733,6480682
106637102,24977474
224688614,333138240
93436732,333138240
86173523,333138240
81704742,333138240
155951259,333138240
56511635,333138240
131294912,333138240
343101096,333138240
237779616,333138240
444895340,333138240
17771860,19568471
75814130,148496087
19568471,19568471
25534013,148496087
19148708,19568471
15162193,19568471
27157089,19568471
5768872,765
24047612,19568471
142690048,19568471
125400453,19568471
64498671,19568471
40071081,19568471
35550889,148496087
105189289,19568471
14415108,19568471
33644693,19568471
18462157,19568471
96824115,19568471
250911289,19568471
35423350,19568471
151624003,19568471
145472611,43604169
13496142,39097715
62296905,43604169
326620473,43604169
19033675,14312950
202643638,43604169
18131039,43604169
63026295,43604169
18738619,43604169
485558954,263292498
33915492,43604169
30488144,6480682
18518096,43604169
60968196,43604169
5380672,37539828
247565758,17874544
34941165,5380672
213173218,5380672
23148563,5380672
146598800,5380672
53820704,17874544
231175831,118958259
17378488,17874544
229906813,17874544
28133097,5380672
19840155,5380672
93932193,5380672
122371074,5380672
28076276,5380672
128804564,5380672
82978967,34676063
246480730,14134204
19575977,21763592
17193794,176412453
13406702,5380672
330072249,17874544
44851838,5380672
91105535,14654965
265208700,14654965
128968339,14654965
310232962,14654965
22554784,14654965
29641317,14654965
23954547,14654965
75370828,14654965
64093842,14654965
64455099,22679419
17019152,74103392
153048176,14654965
98199847,14654965
394169177,14654965
25540290,14654965
352721194,14654965
