node_id,community_id
59522201,19538986
17532475,425207385
343147539,176936249
59339600,75321229
19679993,816653
435563353,243370113
268894244,14251225
317118851,34542541
37027221,17813135
448485689,183095785
84712681,59199168
20289145,17996177
398005717,36913587
7076492,5110861
77091878,256345926
1688461,10241
10416682,30257869
15647839,19315174
18131039,15962096
14245773,14306843
14681605,3840
497139188,16356344
8113622,3840
14816939,46650115
85480693,16343608
60841064,20447992
12798452,3840
19970709,20011697
21769593,30293070
12798822,20174643
126061182,14615871
312176498,17943827
169495645,16313592
19687995,17873937
70133674,88109378
152435436,117541123
236635264,152490004
18518096,15962096
26697659,24400628
19218868,16570302
557073881,163238842
185431025,52084634
546810343,3840
17953972,18682397
16355198,14404235
87532773,816653
17029353,16323833
219483619,182083035
59267030,14365883
80245884,5110861
263270054,123060433
4047941,82433
32746632,90982638
12881,3840
17227259,7861622
273134609,163238842
348975418,194354261
14222927,16356344
9917552,19148708
18995389,17217414
137541218,58903937
34843334,10241
24463189,51237260
14372818,17943827
163909228,25567622
23218255,19538986
20309234,18917281
98807896,14365883
106000848,18105493
103498946,24606439
45203505,493102437
27115071,16323833
220220703,348278208
95821527,170451817
112869149,493102437
25957130,14120151
55253744,68526677
9470732,17122048
461199794,166601166
47797211,9215692
58170602,24400628
24328604,48488675
200579069,15130854
361561604,223928153
236298456,17508106
39025860,25547397
236364007,163238842
18176066,15962096
187371887,12860612
22666034,18105493
42979224,5110861
17008328,16127669
1374411,3840
19275416,14794851
14619339,16356344
126426000,134979402
95476615,7861622
52672768,271551404
15111011,69086398
32933712,117828741
18730477,6519522
250303199,16734718
151765733,365692108
385028056,119417822
14148403,57122023
23043294,14179545
104585045,24036264
215820609,59588845
18266654,816653
22118364,5516372
33503795,17104005
213785692,3840
259399482,12860612
75496180,3840
105008365,21832269
5898772,5110861
16469809,5690262
25621787,17912337
14192988,88109378
247836795,163238842
17432032,22101457
9227962,7082092
187697563,18223191
199696620,58005076
21111304,14145493
14961234,14051156
39922782,27961547
283196244,17897744
158592169,62581962
736293,930061
410492476,266143773
220021101,149276260
224728227,7082092
88845949,44193344
481512517,85253908
27062951,9353422
187524389,17897744
560155443,24055407
64571367,7384432
234297245,113688646
23826007,816653
21627411,69099998
73269222,221185711
152200919,21742987
6904972,6368672
5459482,3840
18019451,30257869
189279839,816653
17803303,117541123
37494895,64285972
17907506,35206553
89208505,786764
295097857,333966373
17365736,18483115
