node_id,pagerank_score
115485051,113.53448633286033
813286,104.42268967480454
40981798,73.9791589265142
7861312,61.52445428354016
3359851,59.25220438770593
43003845,58.29408515435523
15913,50.40750311507147
90420314,48.999236439100585
22462180,48.58620656289025
16303106,48.30127118290287
34428380,48.26781869059876
1183041,46.910431764507486
972651,46.81563784821977
62581962,45.56244164110744
59804598,43.936522369501134
17093617,43.74561626699559
10671602,43.533147412483714
79797834,42.866768222711954
31353077,41.13154558018596
14230524,40.96101608418226
11348282,40.13661889386724
15846407,39.7267157695322
63485337,39.70736367164571
14075928,39.573705909653
15439395,38.45715873469931
25521487,38.414653415772285
18927441,38.22742229446247
428333,37.87070319191939
783214,35.569673852606755
48485771,33.23891714132337
10350,31.303251960526467
3829151,30.42413878897758
22679419,30.308519130171096
50393960,29.19717106051082
30313925,29.163343273513327
7860742,28.693056367552018
816653,28.65771097894663
5442012,28.374656965489834
18713254,28.257360555951813
15485441,28.243413118116457
14824849,27.49289340672865
15853668,26.812339143765946
309366491,26.636264398406684
24585498,26.555725789460773
24742040,26.44129209235699
15234657,26.335119375746228
27855118,26.170014364508827
12925072,25.646213112815413
18776017,25.203404248043643
19725644,25.107465232733333
18393773,24.910980373166932
26604704,24.90930473709129
139162440,24.770950175882014
10228272,24.486628960628355
19637934,24.480847233565445
30364057,24.430556254396706
657863,24.39300459650251
16464746,24.30728853585877
22027186,24.050321417987607
141341662,23.946837532331788
22461427,23.895412151857585
34068984,23.73204430285483
259379883,23.45333577744968
15222083,23.001267848845295
13348,22.770194524785868
1344951,22.413959846801202
11928542,22.310830988488412
24907197,22.13087560182476
17092592,21.94349510857863
87764480,21.759914224872368
807095,21.63408055889703
18581803,21.483409395962067
22784458,21.464306475904912
21447363,20.996608653772036
17919972,20.82896502185346
31331740,20.760725669684195
14922225,20.452693583993007
26281970,20.44984651192874
7846,20.368125909484007
14869783,20.355063922726387
20536157,20.089567220253937
18483115,19.79835370159143
15661871,19.61703473149232
35432497,19.424913745185666
18742444,19.33770740235579
30096240,19.25872966377135
14654965,19.052419651346824
14269220,18.97565098999057
22841103,18.962968734191808
20609518,18.90044348540735
29514951,18.848942556132762
9451052,18.817262702207945
15666380,18.805373177347608
171536167,18.791152613019886
18996905,18.56788541124193
14348594,18.564126872388645
14677919,18.555440639723194
759251,18.494347932499174
12611642,18.407652963736297
14511951,18.25303234258586
