node_id,degree
115485051,6766
40981798,6478
813286,6022
43003845,5516
3359851,4980
22462180,4968
34428380,4952
7861312,4310
15913,4266
59804598,3578
11348282,3486
10671602,3390
1183041,3332
18927441,3136
16303106,3042
90420314,3018
48485771,2994
31353077,2934
972651,2886
63485337,2790
79797834,2774
15853668,2754
17093617,2716
18776017,2582
7860742,2550
5442012,2538
428333,2512
14075928,2510
309366491,2502
15846407,2458
14230524,2452
22679419,2450
15439395,2440
62581962,2396
783214,2370
30313925,2366
10350,2360
31331740,2322
22784458,2206
15234657,2182
14654965,2160
24742040,2158
34068984,2144
27633075,2108
16464746,2106
25521487,2102
24585498,2060
18996905,2046
18581803,2018
3829151,1992
27855118,1982
238260874,1958
15485441,1950
19725644,1928
15222083,1918
88323281,1896
18713254,1874
14824849,1864
117674417,1846
50393960,1842
263838766,1832
26281970,1830
139162440,1824
83943787,1804
11928542,1778
87764480,1778
816653,1758
116952434,1756
657863,1722
18742444,1714
12925072,1698
18393773,1688
14922225,1674
14269220,1656
17868918,1644
19040580,1636
9451052,1636
16475194,1620
13348,1612
30364057,1608
10228272,1604
22841103,1602
16098603,1596
17092592,1576
22027186,1568
807095,1566
1344951,1560
22461427,1560
208132323,1558
2367911,1554
116036694,1532
29514951,1530
19637934,1516
7846,1512
14677919,1512
21447363,1496
17919972,1488
259379883,1488
21111883,1474
14348594,1466
