id,degree
115485051,6766
40981798,6478
813286,6022
43003845,5516
3359851,4980
22462180,4968
34428380,4952
7861312,4310
15913,4266
59804598,3578
11348282,3486
10671602,3390
1183041,3332
18927441,3136
16303106,3042
90420314,3018
48485771,2994
31353077,2934
972651,2886
63485337,2790
79797834,2774
15853668,2754
17093617,2716
18776017,2582
7860742,2550
5442012,2538
428333,2512
14075928,2510
309366491,2502
15846407,2458
14230524,2452
22679419,2450
15439395,2440
62581962,2396
783214,2370
30313925,2366
10350,2360
31331740,2322
22784458,2206
15234657,2182
14654965,2160
24742040,2158
34068984,2144
27633075,2108
16464746,2106
25521487,2102
24585498,2060
18996905,2046
18581803,2018
3829151,1992
27855118,1982
238260874,1958
15485441,1950
19725644,1928
15222083,1918
88323281,1896
18713254,1874
14824849,1864
117674417,1846
50393960,1842
263838766,1832
26281970,1830
139162440,1824
83943787,1804
11928542,1778
87764480,1778
816653,1758
116952434,1756
657863,1722
18742444,1714
12925072,1698
18393773,1688
14922225,1674
14269220,1656
17868918,1644
19040580,1636
9451052,1636
16475194,1620
13348,1612
30364057,1608
10228272,1604
22841103,1602
16098603,1596
17092592,1576
22027186,1568
807095,1566
22461427,1560
1344951,1560
208132323,1558
2367911,1554
116036694,1532
29514951,1530
19637934,1516
7846,1512
14677919,1512
21447363,1496
259379883,1488
17919972,1488
21111883,1474
14348594,1466
195475105,1458
8088112,1446
133055665,1440
28465635,1438
759251,1438
17759701,1428
18666844,1428
82030021,1424
96848570,1406
6519522,1400
15661871,1394
20273398,1394
15666380,1390
21436960,1356
14511951,1356
12611642,1346
14691709,1342
46423291,1338
144040563,1332
100318079,1330
121258930,1300
14464369,1290
36198161,1280
440963134,1278
3840,1274
19802879,1274
20,1274
20536157,1272
284422688,1266
26280712,1250
19413393,1242
15693493,1220
6608332,1220
94414805,1220
29758446,1218
4620451,1214
22705686,1202
151338729,1200
93905958,1200
21158690,1194
33423,1182
83883736,1180
13687132,1174
204317520,1172
47787563,1166
65913144,1164
20471349,1156
18948541,1154
18753000,1146
14303746,1144
126881128,1144
14536491,1142
294198566,1140
121533789,1136
26929220,1136
6480682,1132
2384071,1130
2172,1130
290097288,1130
146155608,1126
7702232,1122
7081402,1110
15473958,1104
158419434,1098
3443591,1098
197504076,1096
24942585,1092
16669075,1088
16580226,1082
36803580,1080
221829166,1072
25026165,1066
14353392,1066
153226312,1062
131601987,1062
7872262,1060
276706356,1058
280935165,1052
43170475,1050
6017542,1050
14506253,1048
204140367,1046
20880546,1042
59414975,1042
187773078,1038
20747847,1036
1065921,1036
20609518,1036
12,1024
108811740,1022
270449528,1020
196680777,1014
112939321,1010
18715024,1008
73992972,1006
14575846,1006
749863,1002
10810102,1000
90779436,998
19493072,998
36735522,986
21681252,984
73019162,980
28149277,980
14155052,978
225784456,976
15736190,976
15165493,974
21556071,972
25473689,970
5402612,968
17346342,966
24641194,966
215785630,964
173732041,960
111164068,954
44473103,954
7377812,952
15224867,952
16129920,952
15102849,952
69592091,950
15680204,950
14293310,946
250831586,946
52758395,944
19358562,940
20291791,934
20060293,932
28123862,930
113420831,928
20240002,920
41172837,920
141021153,912
5162861,912
161418822,906
610533,904
61133,900
6297852,900
204089551,898
25952851,898
188108667,896
7429892,896
9624742,894
15165502,890
47161442,890
7093352,888
16674726,886
19058681,884
51263592,882
307458983,882
3245291,880
184637153,880
266464616,878
36629388,874
101859065,874
28521141,872
149538028,872
24773177,870
94918917,870
28735548,870
184097849,868
188443111,868
314316607,866
2100521,864
61853389,862
24081780,862
274153775,860
16048740,854
14692604,854
237845487,854
18963070,852
47667972,850
61040299,848
181701688,848
14645160,846
15519544,844
15131310,840
127973392,840
14180231,838
16112634,838
2735591,838
172883064,836
8001572,836
33998183,834
14589257,834
13058232,832
160817572,832
155976326,826
13,826
14622632,824
206923844,824
164880154,824
19397785,822
70492333,822
25376226,822
817268,822
19658826,820
17552077,820
618593,818
29145184,816
92319025,816
187744415,816
18498684,814
41147062,814
8470732,814
45416789,812
19658936,810
7157132,810
13176312,808
254839786,808
165436952,808
15647676,806
45862504,806
131029775,804
3040621,804
180505807,804
43166813,800
7565302,798
14573745,798
15134782,796
34743251,796
229039814,796
50374439,796
17915692,796
88097807,796
37170886,794
16567106,794
17503591,788
4519121,788
121825928,786
14983833,786
317076339,786
15575251,784
28933226,784
170729553,784
198327282,782
24004172,782
15901190,782
40076725,782
63796828,780
15838599,780
8295072,778
12127832,776
73381700,774
169686021,774
266182056,774
15962096,772
16312576,772
13461662,772
14199378,772
5768872,770
14038862,770
279787626,768
15924858,764
17224642,764
14074515,764
46220856,762
14224219,760
283762107,758
20436059,756
180463340,756
24117694,754
36823,752
100581193,752
17939037,752
38070776,752
