id,pagerank
3437,31.36397191128387
107,28.909192017029888
1684,26.53676570912984
0,26.3720435746317
1912,16.324520169360095
348,9.861690955935686
3980,9.085872441714978
686,9.084883409564803
414,7.433145682136299
698,5.569682146753428
483,5.196152326159695
3830,4.787999942716186
376,3.623862340081137
2047,3.453929454828031
2313,3.2727802307430833
25,3.194692067499326
475,3.1553372569493456
56,3.155278884285264
428,3.149562142127023
828,3.120153054365787
322,3.1184866672746407
563,3.0435193931551057
67,3.03009946928095
3596,3.0048259392453684
713,2.9956778563603046
917,2.9847853144829246
119,2.9550865052427318
271,2.921545011855241
277,2.852350535077746
3938,2.8481288086750483
3545,2.8459803124976273
1888,2.765290818897118
3604,2.7523052863701727
2951,2.744776313981093
21,2.7383855930955665
1800,2.72232467732914
26,2.7102663245072875
637,2.6897839400575965
705,2.685754350231557
412,2.6827350457354613
3521,2.6699307603458227
1783,2.6546650444236843
2543,2.6469455926995464
3101,2.6287095773291362
252,2.6263776034207837
3291,2.619859078077129
1352,2.6135254254812716
122,2.6010600352473108
1431,2.5960344444030774
805,2.5909618874239695
1663,2.5902193454666502
2730,2.586361036638755
1086,2.5841657312722623
373,2.5812438394764556
1730,2.579457879001417
3397,2.5370312035953644
517,2.5361039214961805
136,2.534972597575403
719,2.5203564809698658
2863,2.507543217954243
3684,2.492822282918846
1584,2.485463252285154
484,2.47699444624468
2347,2.46758608518974
1472,2.467252260670303
1085,2.463179384562582
3320,2.4563383378588908
353,2.456003043244022
239,2.4536768880239617
2839,2.4322992664436356
3082,2.4300351654109207
2742,2.4201513259401604
1768,2.4103568697240685
363,2.4039589289838426
315,2.388768045507995
3280,2.368698811887419
203,2.3613011021139614
9,2.3601278319317363
747,2.350397285938419
3154,2.3501333363046695
3633,2.349318755278454
2133,2.348283420793745
1199,2.34823771732108
3363,2.3479600691686895
366,2.3457123224073064
3756,2.336550872277998
513,2.3321061580874343
200,2.319587228139605
2289,2.3000174052217774
896,2.299553500965271
553,2.296741912037541
2384,2.2909891420825343
3918,2.2906817053746327
745,2.288020146684557
1964,2.2869383075748373
1505,2.2835893071403226
1827,2.282632817924293
3442,2.2703536354610585
304,2.269507029422261
1277,2.2611162975506045
